id,family_id,name,latitude,longitude
rian1261,aust1305,Riang (Myanmar),24.0521,98.8333
roma1331,aust1305,Romam,14.34,107.447
rucc1239,aust1305,Ruc,17.68293,105.7841
ruch1235,aust1305,Ruching Palaung,21.6176,98.0915
ruma1248,aust1305,Rumai Palaung,23.6404,97.3172
sabu1253,aust1305,Sabüm,5.34694,101.065
samt1238,aust1305,Samtao,22.0185,99.2576
sant1410,aust1305,Santali,25.0317,87.8185
saoc1239,aust1305,Sa'och,10.8739,103.835
sapu1248,aust1305,Sapuan,15.3692,106.843
seda1262,aust1305,Sedang,14.7793,108.027
sema1265,aust1305,Semaq Beri,4.1217,102.816
sema1266,aust1305,Semai,4.13257,101.477
seme1247,aust1305,Semelai,2.82799,102.806
semn1250,aust1305,Semnam,5.27617,101.058
shwe1236,aust1305,Shwe Palaung,23.6729,97.7972
sokk1239,aust1305,Sok,15.1665,106.84
somr1240,aust1305,Somray of Battambang-Somre of Siem Reap,12.243,103.139
sooo1254,aust1305,Sô,16.9081,105.001
sora1254,aust1305,Sora,19.1213,84.19
sout2689,aust1305,Southern Nicobarese,6.82744,93.8042
sout2692,aust1305,Southern Mnong,12.06354,107.65424
sout3251,aust1305,Southern Katang,16.108419,106.473214
souu1238,aust1305,Sou,14.687,106.54
suoy1242,aust1305,Suoy,11.936,104.136
tail1246,aust1305,Muak,21.4293,100.985
taku1254,aust1305,Takua,15.4299,108.046
tali1257,aust1305,Talieng,16.5287,106.102
tamp1251,aust1305,Tampuan,13.56447,107.24544
temi1246,aust1305,Temiar,4.974,101.438
temo1243,aust1305,Temoq,3.11331,102.916
tere1272,aust1305,Teressa,8.23716,93.1297
thee1239,aust1305,Theen,19.379873,102.414123
thoo1240,aust1305,Tho,19.3563,105.363
todr1244,aust1305,Todrah,14.5672,108.114
tong1308,aust1305,Maniq,6.88137,100.102
toum1239,aust1305,Toum,18.8,104.8
trie1243,aust1305,Trieng,15.5002,107.515
triw1234,aust1305,Triw,15.6833,107.2
turi1246,aust1305,Turi,22.0122,84.4712
uppe1406,aust1305,Upper Ta'oih,16.186515,107.056135
uuuu1243,aust1305,U,22.6767,101.772
viet1252,aust1305,Vietnamese,20.681188,105.774071
warj1242,aust1305,War-Jaintia,25.1154,91.6266
west2396,aust1305,Western Lawa,19.8678,99.2057
west2397,aust1305,Western Bru,16.4906,104.754
west2398,aust1305,Western Katu,15.7949,107.166
xiyu1235,aust1305,Xiyun Va,22.499,99.584
yinc1238,aust1305,Yinchia,20.0833,97.9166
