"","id","family_id","name","latitude","longitude"
"107","bamb1265","atla1278","Bambalang",5.861,10.544
"108","bamb1266","atla1278","Bambili-Bambui",6.10821,10.2233
"109","bame1260","atla1278","Bamenyam",5.77049,10.3302
"110","bamu1253","atla1278","Bamun",5.49017,10.8477
"111","bamu1254","atla1278","Bamukumbit",5.87292,10.3537
"112","bamu1256","atla1278","Bamunka",6.00203,10.5127
"113","bamw1238","atla1278","Bamwe",2.16773,19.1644
"114","band1340","atla1278","Bandial",12.5258,-16.4245
"115","band1342","atla1278","Banda-Mbrès",7.32924,23.0108
"116","band1343","atla1278","Banda-Banda",6.63889,22.7568
"117","band1344","atla1278","Banda-Bambari",6.21563,20.9827
"118","band1345","atla1278","Banda-Ndélé",8.03339,23.9021
"119","band1348","atla1278","Banda-Yangere",3.95763,16.5907
"120","bang1345","atla1278","Bangba",3.39956,28.3138
"121","bang1347","atla1278","Ngombe-Bangandu",2.18716,14.7506
"122","bang1348","atla1278","Bangwinji",9.57157,11.2022
"123","bang1350","atla1278","Bangubangu",-4.31464,27.2438
"124","bang1353","atla1278","Bangala",3.3466,28.04453
"125","bang1354","atla1278","Bobangi",-0.87437,17.227
"126","bang1356","atla1278","Bangolan",6.0125,10.667
"127","bank1256","atla1278","Bankon",4.3702,9.6403
"128","bank1257","atla1278","Bankal",9.5,10.5
"129","baou1238","atla1278","Baoulé",5.42509,-4.76565
"130","bape1239","atla1278","Bapen",12.13,-12.79
"131","bara1361","atla1278","Barambu",3.34642,26.861
"132","bara1362","atla1278","Barama",-2.49659,10.6777
"133","baro1252","atla1278","Barombi",4.64584,9.25261
"134","barw1243","atla1278","Barwe",-17.675,33.4534
"135","basa1280","atla1278","Basa-Gumna",9.94207,6.58105
"136","basa1281","atla1278","Basa-Gurmana",10.2488,6.74865
"137","basa1282","atla1278","Basa (Nigeria)",8.03159,7.06183
"138","basa1284","atla1278","Basa (Cameroon)",3.80765,10.4213
"139","bass1258","atla1278","Bassari-Tanda",12.4529,-13.3495
"140","bass1259","atla1278","Bassa-Kontagora",10.3333,4.98331
"141","bass1260","atla1278","Bassossi",5.23655,9.52275
"142","bata1285","atla1278","Batanga",1.397041,9.51011
"143","bati1251","atla1278","Bati (Cameroon)",4.25573,11.0591
"144","batu1255","atla1278","Batu",6.81588,10.9377
"145","bauc1238","atla1278","Bauchi",10.2077,6.61686
"146","bayo1255","atla1278","Kugere-Kuxinge",12.6881,-16.3947
"147","beba1238","atla1278","Beba",6.32256,9.73577
"148","bebe1248","atla1278","Bebele",4.78874,12.824
"149","bebe1250","atla1278","Bebe",6.74825,10.5646
"150","bebi1242","atla1278","Bebil",4.86672,13.3848
"151","bedi1235","atla1278","Bedik",12.7531,-12.4796
"152","beek1238","atla1278","Beeke",3.18438,29.9842
"153","beem1239","atla1278","Beembe",-3.95895,14.1
"154","beez1238","atla1278","Beezen",6.81552,10.109
"155","befa1241","atla1278","Menchum",6.27562,10.0342
"156","begb1241","atla1278","Begbere-Ejar",9.40519,7.59566
"157","bekw1241","atla1278","Bekwarra",6.73737,8.86489
"158","bekw1242","atla1278","Bekwil",1.71801,14.6527
"159","bela1255","atla1278","Belanda Viri",7.41311,27.6956
"160","belu1239","atla1278","Belueli",1.314698,28.933744
"161","bemb1255","atla1278","Bembe",-4.49057,29.0507
"162","bemb1257","atla1278","Bemba (Zambia)",-10.6122,29.2993
"163","bena1260","atla1278","Bena (Nigeria)",9.74861,12.3972
"164","bena1262","atla1278","Bena (Tanzania)",-9.26671,35.0364
"165","bend1258","atla1278","Bende",-6.22082,30.5926
"166","beng1282","atla1278","Benga",1.075766,9.600739
"167","bera1259","atla1278","Bera",1.50054,30.0293
